"C:\Program Files\Python38\python.exe" A:/USU/Assignments/IntelligentSystems/hw03/commands.py
==== Training 784x10x10 ANN ======
Epoch 38: 9511 / 10000
Epoch 39: 9511 / 10000
Epoch 40: 9506 / 10000
Epoch 41: 9508 / 10000
Epoch 42: 9498 / 10000
Epoch 43: 9504 / 10000
Epoch 44: 9506 / 10000
Epoch 45: 9512 / 10000
Epoch 46: 9506 / 10000
Epoch 47: 9503 / 10000
Epoch 48: 9505 / 10000
Epoch 49: 9499 / 10000
==== Training 784x40x10 ANN DONE... ======
==== Training 784x50x10 ANN ======
Epoch 0: 7218 / 10000
Epoch 1: 8171 / 10000
Epoch 2: 8300 / 10000
Epoch 3: 8370 / 10000
Epoch 4: 8398 / 10000
Epoch 5: 8431 / 10000
Epoch 6: 8488 / 10000
Epoch 7: 8495 / 10000
Epoch 8: 8511 / 10000
Epoch 9: 8537 / 10000
Epoch 10: 8528 / 10000
Epoch 11: 8556 / 10000
Epoch 12: 8581 / 10000
Epoch 13: 8579 / 10000
Epoch 14: 8579 / 10000
Epoch 15: 8590 / 10000
Epoch 16: 8583 / 10000
Epoch 17: 8604 / 10000
Epoch 18: 8595 / 10000
Epoch 19: 8624 / 10000
Epoch 20: 8612 / 10000
Epoch 21: 8617 / 10000
Epoch 22: 8622 / 10000
Epoch 23: 8640 / 10000
Epoch 24: 8636 / 10000
Epoch 25: 8627 / 10000
Epoch 26: 8634 / 10000
Epoch 27: 8639 / 10000
Epoch 28: 8635 / 10000
Epoch 29: 8654 / 10000
Epoch 30: 8632 / 10000
Epoch 31: 8645 / 10000
Epoch 32: 8652 / 10000
Epoch 33: 8647 / 10000
Epoch 34: 8655 / 10000
Epoch 35: 8646 / 10000
Epoch 36: 8650 / 10000
Epoch 37: 8658 / 10000
Epoch 38: 8664 / 10000
Epoch 39: 8658 / 10000
Epoch 40: 8643 / 10000
Epoch 41: 8662 / 10000
Epoch 42: 8654 / 10000
Epoch 43: 8662 / 10000
Epoch 44: 8662 / 10000
Epoch 45: 8663 / 10000
Epoch 46: 8657 / 10000
Epoch 47: 8672 / 10000
Epoch 48: 8670 / 10000
Epoch 49: 8666 / 10000
==== Training 784x50x10 ANN DONE... ======




==== Training 784x10x10 ANN ======
Epoch 0: 7624 / 10000
Epoch 1: 8469 / 10000
Epoch 2: 8708 / 10000
Epoch 3: 8799 / 10000
Epoch 4: 8876 / 10000
Epoch 5: 8907 / 10000
Epoch 6: 8969 / 10000
Epoch 7: 8991 / 10000
Epoch 8: 9012 / 10000
Epoch 9: 9027 / 10000
Epoch 10: 9016 / 10000
Epoch 11: 9037 / 10000
Epoch 12: 9049 / 10000
Epoch 13: 9061 / 10000
Epoch 14: 9067 / 10000
Epoch 15: 9082 / 10000
Epoch 16: 9060 / 10000
Epoch 17: 9062 / 10000
Epoch 18: 9057 / 10000
Epoch 19: 9066 / 10000
Epoch 20: 9087 / 10000
Epoch 21: 9072 / 10000
Epoch 22: 9076 / 10000
Epoch 23: 9096 / 10000
Epoch 24: 9092 / 10000
Epoch 25: 9089 / 10000
Epoch 26: 9070 / 10000
Epoch 27: 9084 / 10000
Epoch 28: 9102 / 10000
Epoch 29: 9120 / 10000
Epoch 30: 9112 / 10000
Epoch 31: 9116 / 10000
Epoch 32: 9094 / 10000
Epoch 33: 9089 / 10000
Epoch 34: 9104 / 10000
Epoch 35: 9118 / 10000
Epoch 36: 9101 / 10000
Epoch 37: 9108 / 10000
Epoch 38: 9118 / 10000
Epoch 39: 9119 / 10000
Epoch 40: 9117 / 10000
Epoch 41: 9114 / 10000
Epoch 42: 9125 / 10000
Epoch 43: 9112 / 10000
Epoch 44: 9103 / 10000
Epoch 45: 9101 / 10000
Epoch 46: 9126 / 10000
Epoch 47: 9109 / 10000
Epoch 48: 9117 / 10000
Epoch 49: 9108 / 10000
==== Training 784x10x10 ANN DONE... ======
==== Training 784x20x10 ANN ======
Epoch 0: 8129 / 10000
Epoch 1: 8598 / 10000
Epoch 2: 8830 / 10000
Epoch 3: 8962 / 10000
Epoch 4: 9030 / 10000
Epoch 5: 9128 / 10000
Epoch 6: 9152 / 10000
Epoch 7: 9169 / 10000
Epoch 8: 9209 / 10000
Epoch 9: 9239 / 10000
Epoch 10: 9247 / 10000
Epoch 11: 9276 / 10000
Epoch 12: 9282 / 10000
Epoch 13: 9284 / 10000
Epoch 14: 9297 / 10000
Epoch 15: 9319 / 10000
Epoch 16: 9302 / 10000
Epoch 17: 9331 / 10000
Epoch 18: 9331 / 10000
Epoch 19: 9340 / 10000
Epoch 20: 9330 / 10000
Epoch 21: 9344 / 10000
Epoch 22: 9356 / 10000
Epoch 23: 9362 / 10000
Epoch 24: 9353 / 10000
Epoch 25: 9374 / 10000
Epoch 26: 9359 / 10000
Epoch 27: 9360 / 10000
Epoch 28: 9360 / 10000
Epoch 29: 9378 / 10000
Epoch 30: 9375 / 10000
Epoch 31: 9383 / 10000
Epoch 32: 9388 / 10000
Epoch 33: 9388 / 10000
Epoch 34: 9396 / 10000
Epoch 35: 9393 / 10000
Epoch 36: 9391 / 10000
Epoch 37: 9389 / 10000
Epoch 38: 9393 / 10000
Epoch 39: 9381 / 10000
Epoch 40: 9389 / 10000
Epoch 41: 9392 / 10000
