==== Training 784x10x10 ANN ======
Epoch 41: 9504 / 10000
Epoch 42: 9510 / 10000
Epoch 43: 9507 / 10000
Epoch 44: 9506 / 10000
Epoch 45: 9498 / 10000
Epoch 46: 9518 / 10000
Epoch 47: 9497 / 10000
Epoch 48: 9503 / 10000
Epoch 49: 9511 / 10000
==== Training 784x40x10 ANN DONE... ======
==== Training 784x50x10 ANN ======
Epoch 0: 5880 / 10000
Epoch 1: 6236 / 10000
Epoch 2: 6352 / 10000
Epoch 3: 6391 / 10000
Epoch 4: 6429 / 10000
Epoch 5: 6456 / 10000
Epoch 6: 6479 / 10000
Epoch 7: 6482 / 10000
Epoch 8: 6488 / 10000
Epoch 9: 6508 / 10000
Epoch 10: 6511 / 10000
Epoch 11: 6524 / 10000
Epoch 12: 6535 / 10000
Epoch 13: 6547 / 10000
Epoch 14: 6557 / 10000
Epoch 15: 7435 / 10000
Epoch 16: 7444 / 10000
Epoch 17: 7459 / 10000
Epoch 18: 7473 / 10000
Epoch 19: 7490 / 10000
Epoch 20: 7483 / 10000
Epoch 21: 7494 / 10000
Epoch 22: 7494 / 10000
Epoch 23: 7498 / 10000
Epoch 24: 7494 / 10000
Epoch 25: 7504 / 10000
Epoch 26: 7510 / 10000
Epoch 27: 7508 / 10000
Epoch 28: 7511 / 10000
Epoch 29: 7519 / 10000
Epoch 30: 7508 / 10000
Epoch 31: 7512 / 10000
Epoch 32: 7524 / 10000
Epoch 33: 7520 / 10000
Epoch 34: 7519 / 10000
Epoch 35: 7509 / 10000
Epoch 36: 7513 / 10000
Epoch 37: 7527 / 10000
Epoch 38: 7535 / 10000
Epoch 39: 7536 / 10000
Epoch 40: 7536 / 10000
Epoch 41: 7530 / 10000
Epoch 42: 7531 / 10000
Epoch 43: 7522 / 10000
Epoch 44: 7533 / 10000
Epoch 45: 7534 / 10000
Epoch 46: 7523 / 10000
Epoch 47: 7545 / 10000
Epoch 48: 7533 / 10000
Epoch 49: 7531 / 10000
==== Training 784x50x10 ANN DONE... ======




==== Training 784x10x10 ANN ======
Epoch 0: 6628 / 10000
Epoch 1: 8054 / 10000
Epoch 2: 8354 / 10000
Epoch 3: 8556 / 10000
Epoch 4: 8609 / 10000
Epoch 5: 8720 / 10000
Epoch 6: 8747 / 10000
Epoch 7: 8777 / 10000
Epoch 8: 8827 / 10000
Epoch 9: 8819 / 10000
Epoch 10: 8852 / 10000
Epoch 11: 8860 / 10000
Epoch 12: 8874 / 10000
Epoch 13: 8845 / 10000
Epoch 14: 8884 / 10000
Epoch 15: 8888 / 10000
Epoch 16: 8884 / 10000
Epoch 17: 8915 / 10000
Epoch 18: 8905 / 10000
Epoch 19: 8907 / 10000
Epoch 20: 8907 / 10000
Epoch 21: 8917 / 10000
Epoch 22: 8921 / 10000
Epoch 23: 8917 / 10000
Epoch 24: 8903 / 10000
Epoch 25: 8927 / 10000
Epoch 26: 8950 / 10000
Epoch 27: 8898 / 10000
Epoch 28: 8921 / 10000
Epoch 29: 8908 / 10000
Epoch 30: 8927 / 10000
Epoch 31: 8939 / 10000
Epoch 32: 8943 / 10000
Epoch 33: 8935 / 10000
Epoch 34: 8924 / 10000
Epoch 35: 8936 / 10000
Epoch 36: 8961 / 10000
Epoch 37: 8943 / 10000
Epoch 38: 8941 / 10000
Epoch 39: 8911 / 10000
Epoch 40: 8947 / 10000
Epoch 41: 8955 / 10000
Epoch 42: 8958 / 10000
Epoch 43: 8957 / 10000
Epoch 44: 8964 / 10000
Epoch 45: 8929 / 10000
Epoch 46: 8935 / 10000
Epoch 47: 8968 / 10000
Epoch 48: 8955 / 10000
Epoch 49: 8947 / 10000
==== Training 784x10x10 ANN DONE... ======
==== Training 784x20x10 ANN ======
Epoch 0: 8199 / 10000
Epoch 1: 8690 / 10000
