==== Training 784x10x10x10 ANN ======
Epoch 40: 9148 / 10000
Epoch 41: 9138 / 10000
Epoch 42: 9150 / 10000
Epoch 43: 9157 / 10000
Epoch 44: 9146 / 10000
Epoch 45: 9140 / 10000
Epoch 46: 9149 / 10000
Epoch 47: 9137 / 10000
Epoch 48: 9164 / 10000
Epoch 49: 9162 / 10000
==== Training 784x10x40x10 ANN DONE... ======
==== Training 784x10x50x10 ANN ======
Epoch 0: 6302 / 10000
Epoch 1: 7842 / 10000
Epoch 2: 8403 / 10000
Epoch 3: 8615 / 10000
Epoch 4: 8771 / 10000
Epoch 5: 8819 / 10000
Epoch 6: 8899 / 10000
Epoch 7: 8971 / 10000
Epoch 8: 8993 / 10000
Epoch 9: 8996 / 10000
Epoch 10: 9026 / 10000
Epoch 11: 9021 / 10000
Epoch 12: 9043 / 10000
Epoch 13: 9076 / 10000
Epoch 14: 9052 / 10000
Epoch 15: 9094 / 10000
Epoch 16: 9121 / 10000
Epoch 17: 9129 / 10000
Epoch 18: 9096 / 10000
Epoch 19: 9122 / 10000
Epoch 20: 9136 / 10000
Epoch 21: 9145 / 10000
Epoch 22: 9141 / 10000
Epoch 23: 9166 / 10000
Epoch 24: 9157 / 10000
Epoch 25: 9142 / 10000
Epoch 26: 9162 / 10000
Epoch 27: 9150 / 10000
Epoch 28: 9159 / 10000
Epoch 29: 9157 / 10000
Epoch 30: 9182 / 10000
Epoch 31: 9169 / 10000
Epoch 32: 9172 / 10000
Epoch 33: 9186 / 10000
Epoch 34: 9187 / 10000
Epoch 35: 9178 / 10000
Epoch 36: 9169 / 10000
Epoch 37: 9176 / 10000
Epoch 38: 9163 / 10000
Epoch 39: 9200 / 10000
Epoch 40: 9190 / 10000
Epoch 41: 9182 / 10000
Epoch 42: 9206 / 10000
Epoch 43: 9188 / 10000
Epoch 44: 9194 / 10000
Epoch 45: 9187 / 10000
Epoch 46: 9195 / 10000
Epoch 47: 9202 / 10000
Epoch 48: 9197 / 10000
Epoch 49: 9193 / 10000
==== Training 784x10x50x10 ANN DONE... ======
==== Training 784x20x10x10 ANN ======
Epoch 0: 5138 / 10000
Epoch 1: 7089 / 10000
Epoch 2: 7984 / 10000
Epoch 3: 8409 / 10000
Epoch 4: 8612 / 10000
Epoch 5: 8776 / 10000
Epoch 6: 8840 / 10000
Epoch 7: 8898 / 10000
Epoch 8: 8967 / 10000
Epoch 9: 9002 / 10000
Epoch 10: 9045 / 10000
Epoch 11: 9088 / 10000
Epoch 12: 9092 / 10000
Epoch 13: 9116 / 10000
Epoch 14: 9127 / 10000
Epoch 15: 9149 / 10000
Epoch 16: 9165 / 10000
Epoch 17: 9167 / 10000
Epoch 18: 9157 / 10000
Epoch 19: 9189 / 10000
Epoch 20: 9197 / 10000
Epoch 21: 9196 / 10000
Epoch 22: 9192 / 10000
Epoch 23: 9206 / 10000
Epoch 24: 9204 / 10000
Epoch 25: 9212 / 10000
Epoch 26: 9221 / 10000
Epoch 27: 9214 / 10000
Epoch 28: 9232 / 10000
Epoch 29: 9224 / 10000
Epoch 30: 9233 / 10000
Epoch 31: 9225 / 10000
Epoch 32: 9240 / 10000
